#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
# 
#  "SEAMAP:  Zooplankton biomass data sampled by the SouthEast Area Monitoring and Assessment Program (SEAMAP)"
# 
#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
#
#                COPEPOD:  14-Sep-2017  (Web v10.2 x)
#
#              Live-link:  https://www.st.nmfs.noaa.gov/copepod/data/us-05201/index.html 
#
#                          A comprehensive content summary and alternate data formats
#                                 are available online at the web link above.
#
#
#
#SHP-CRUISE,YEAR,MON,DAY,TIMEgmt,TIMEloc,LATITUDE,LONGITDE,UPPER_Z,LOWER_Z,T,GEAR,MESH,NMFS_PGC,ITIS_TSN,MOD,LIF,PSC,SEX,V, Water Strained, Original-VALUE,Orig-UNITS, VALUE-per-volu,UNITS,F1,F2,F3,F4, VALUE-per-area,UNITS,F1,F2,F3,F4,SCIENTIFIC NAME -[ modifiers ]-, RECORD-ID,DATASET-ID, SHIP, PROJ, INST,Orig-CRUISE-ID,Orig-STATION-ID,Taxa-Name,Taxa-Modifiers,
#----------,----,---,---,-------,-------,--------,--------,-------,-------,-,----,----,--------,--------,---,---,---,---,-,---------------,---------------,----------,---------------,-----,--,--,--,--,---------------,-----,--,--,--,--,-------------------------------,----------,----------,-----,-----,-----,
316O-080614,2008,  6, 30, 12.080,  6.080,  28.512, -93.496,    0.0,   39.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,         94. m3,            28.,   ml/haul,          0.298,ml/m3, 0, 0, 0,-1,           95.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0023_0001,SEAMAP, 2513,  565, 1185,282,            148,Zooplankton displacement volume,-[ ]-,
316O-080614,2008,  7,  1,  6.070,  0.067,  28.605, -94.459,    0.0,   34.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,        113. m3,            42.,   ml/haul,         0.3717,ml/m3, 0, 0, 0,-1,          143.8,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0024_0001,SEAMAP, 2513,  565, 1185,282,            157,Zooplankton displacement volume,-[ ]-,
316O-080614,2008,  7,  1, 13.000,  7.000,  28.997, -94.498,    0.0,   18.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,         68. m3,            20.,   ml/haul,          0.294,ml/m3, 0, 0, 0,-1,           68.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0025_0001,SEAMAP, 2513,  565, 1185,282,            160,Zooplankton displacement volume,-[ ]-,
316O-080614,2008,  7,  2,  1.070, 19.070,  28.522, -94.009,    0.0,   39.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,         46. m3,            10.,   ml/haul,          0.217,ml/m3, 0, 0, 0,-1,           34.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0026_0001,SEAMAP, 2513,  565, 1185,282,            166,Zooplankton displacement volume,-[ ]-,
316O-080614,2008,  7,  2, 11.900,  5.900,  29.003, -93.992,    0.0,   19.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,         47. m3,            22.,   ml/haul,          0.468,ml/m3, 0, 0, 0,-1,           75.3,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0027_0001,SEAMAP, 2513,  565, 1185,282,            169,Zooplankton displacement volume,-[ ]-,
316O-080614,2008,  7,  6,  1.720, 19.720,  29.511, -93.957,    0.0,   11.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,         33. m3,             6.,   ml/haul,          0.182,ml/m3, 0, 0, 0,-1,           20.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0028_0001,SEAMAP, 2513,  565, 1185,282,            176,Zooplankton displacement volume,-[ ]-,
316O-080614,2008,  7,  6,  5.920, 23.920,  29.535, -93.535,    0.0,   10.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,         42. m3,            14.,   ml/haul,          0.333,ml/m3, 0, 0, 0,-1,           47.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0029_0001,SEAMAP, 2513,  565, 1185,282,            178,Zooplankton displacement volume,-[ ]-,
316O-080614,2008,  7,  6,  9.050,  3.050,  29.501, -92.997,    0.0,   13.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,         34. m3,            12.,   ml/haul,          0.353,ml/m3, 0, 0, 0,-1,           41.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0030_0001,SEAMAP, 2513,  565, 1185,282,            179,Zooplankton displacement volume,-[ ]-,
316O-080614,2008,  7,  7,  9.570,  3.570,  29.049, -92.520,    0.0,   23.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,         44. m3,            38.,   ml/haul,          0.864,ml/m3, 0, 0, 0,-1,          130.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0031_0001,SEAMAP, 2513,  565, 1185,282,            190,Zooplankton displacement volume,-[ ]-,
316O-080614,2008,  7,  7, 14.130,  8.130,  28.997, -92.996,    0.0,   23.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,         58. m3,            44.,   ml/haul,          0.759,ml/m3, 0, 0, 0,-1,          150.7,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0032_0001,SEAMAP, 2513,  565, 1185,282,            191,Zooplankton displacement volume,-[ ]-,
316O-080614,2008,  7,  7, 20.920, 14.920,  29.040, -93.523,    0.0,   22.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,         33. m3,             8.,   ml/haul,          0.242,ml/m3, 0, 0, 0,-1,           27.4,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0033_0001,SEAMAP, 2513,  565, 1185,282,            193,Zooplankton displacement volume,-[ ]-,
316O-080614,2008,  7,  9, 10.520,  4.520,  28.572, -93.038,    0.0,   41.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,         90. m3,            24.,   ml/haul,          0.267,ml/m3, 0, 0, 0,-1,           82.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0034_0001,SEAMAP, 2513,  565, 1185,282,            209,Zooplankton displacement volume,-[ ]-,
316O-080614,2008,  7,  9, 18.000, 12.000,  28.509, -92.507,    0.0,   49.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,         44. m3,            12.,   ml/haul,          0.273,ml/m3, 0, 0, 0,-1,           41.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0035_0001,SEAMAP, 2513,  565, 1185,282,            211,Zooplankton displacement volume,-[ ]-,
316O-080614,2008,  7, 10, 10.120,  4.120,  28.064, -92.519,    0.0,   99.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,        142. m3,             8.,   ml/haul,         0.0563,ml/m3, 0, 0, 0,-1,           27.4,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0036_0001,SEAMAP, 2513,  565, 1185,282,            220,Zooplankton displacement volume,-[ ]-,
316O-080614,2008,  7, 10, 15.770,  9.770,  28.499, -92.003,    0.0,   47.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,         98. m3,            30.,   ml/haul,          0.306,ml/m3, 0, 0, 0,-1,          102.7,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0037_0001,SEAMAP, 2513,  565, 1185,282,            221,Zooplankton displacement volume,-[ ]-,
316O-080614,2008,  7, 11,  2.980, 20.980,  28.003, -92.003,    0.0,  114.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,         99. m3,            12.,   ml/haul,          0.121,ml/m3, 0, 0, 0,-1,           41.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0038_0001,SEAMAP, 2513,  565, 1185,282,            227,Zooplankton displacement volume,-[ ]-,
316O-080614,2008,  7, 11, 16.580, 10.580,  28.495, -91.470,    0.0,   46.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,         54. m3,             6.,   ml/haul,          0.111,ml/m3, 0, 0, 0,-1,           20.5,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0039_0001,SEAMAP, 2513,  565, 1185,282,            233,Zooplankton displacement volume,-[ ]-,
316O-080614,2008,  7, 12, 12.150,  6.150,  29.008, -92.015,    0.0,   18.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,         75. m3,            14.,   ml/haul,          0.187,ml/m3, 0, 0, 0,-1,           47.9,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0040_0001,SEAMAP, 2513,  565, 1185,282,            243,Zooplankton displacement volume,-[ ]-,
316O-080614,2008,  7, 12, 16.300, 10.300,  28.981, -91.521,    0.0,   12.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,         19. m3,             4.,   ml/haul,          0.211,ml/m3, 0, 0, 0,-1,           13.7,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0041_0001,SEAMAP, 2513,  565, 1185,282,            245,Zooplankton displacement volume,-[ ]-,
316O-080614,2008,  7, 13, 15.680,  9.680,  28.538, -90.939,    0.0,   27.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,         60. m3,            22.,   ml/haul,          0.367,ml/m3, 0, 0, 0,-1,           75.3,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0042_0001,SEAMAP, 2513,  565, 1185,282,            256,Zooplankton displacement volume,-[ ]-,
316O-080614,2008,  7, 14, 10.550,  4.550,  28.460, -90.057,    0.0,   84.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,        159. m3,            26.,   ml/haul,         0.1635,ml/m3, 0, 0, 0,-1,           89.0,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0043_0001,SEAMAP, 2513,  565, 1185,282,            265,Zooplankton displacement volume,-[ ]-,
316O-080614,2008,  7, 14, 16.080, 10.080,  28.464, -90.492,    0.0,   37.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,         40. m3,            12.,   ml/haul,          0.300,ml/m3, 0, 0, 0,-1,           41.1,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0044_0001,SEAMAP, 2513,  565, 1185,282,            267,Zooplankton displacement volume,-[ ]-,
316O-080614,2008,  7, 14, 21.870, 15.870,  28.891, -90.642,    0.0,   16.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,         20. m3,             8.,   ml/haul,          0.400,ml/m3, 0, 0, 0,-1,           27.4,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0045_0001,SEAMAP, 2513,  565, 1185,282,            269,Zooplankton displacement volume,-[ ]-,
316O-080614,2008,  7, 15, 16.080, 10.080,  29.007, -90.020,    0.0,   19.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,         16. m3,            10.,   ml/haul,          0.625,ml/m3, 0, 0, 0,-1,           34.2,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0046_0001,SEAMAP, 2513,  565, 1185,282,            276,Zooplankton displacement volume,-[ ]-,
316O-080614,2008,  7, 16,  8.800,  2.800,  28.980, -89.566,    0.0,   17.0,O, 118, 333,    -401,    -401,  0,  0,  9,  0,b,         36. m3,            34.,   ml/haul,          0.944,ml/m3, 0, 0, 0,-1,          116.4,ml/m2,-1,-1,-1,-1,Zooplankton displacement volume -[ ]-,0047_0001,SEAMAP, 2513,  565, 1185,282,            285,Zooplankton displacement volume,-[ ]-,
